Data,Codigo,Produto,Grupo,Setor,Quantidade_Consumida
2024-01-01,0014,Furosemida 20mg,Medicamento,Urgencia,14
2024-01-01,0020,Cateter Venoso 20G,Material Hospitalar,UTI,18
2024-01-01,0004,Equipo Macrogotas,Material Hospitalar,Bloco Cirurgico,99
2024-01-01,0010,Ceftriaxona 1g,Antibiotico,Urgencia,13
2024-01-01,0023,Compressa Gaze,Material Hospitalar,Urgencia,105
2024-01-01,0013,Ondansetrona 4mg,Medicamento,UTI,52
2024-01-01,0024,Esparadrapo,Material Hospitalar,UTI,13
2024-01-01,0017,"Atropina 0,25mg/mL",Medicamento,Clínica Médica,23
2024-01-01,0015,Hidrocortisona 100mg,Medicamento,UTI,15
2024-01-01,0019,Glicose 50%,Solucoes,Bloco Cirurgico,40
2024-01-01,0018,Cloreto de Sodio 20%,Solucoes,Clínica Médica,75
2024-01-01,0011,Ampicilina 1g,Antibiotico,Urgencia,22
2024-01-01,0006,Seringa 20mL,Material Hospitalar,Clínica Médica,51
2024-01-01,0022,Mascara Cirurgica,Material Hospitalar,Bloco Cirurgico,66
2024-01-01,0021,Cateter Venoso 22G,Material Hospitalar,Urgencia,37
2024-01-01,0003,Soro Glicosado 5% 500mL,Solucoes,Bloco Cirurgico,48
2024-01-01,0005,Seringa 10mL,Material Hospitalar,UTI,71
2024-01-02,0021,Cateter Venoso 22G,Material Hospitalar,Clínica Médica,61
2024-01-02,0002,"Soro Fisiologico 0,9% 500mL",Solucoes,Urgencia,43
2024-01-02,0012,Metoclopramida 10mg,Medicamento,UTI,49
2024-01-02,0004,Equipo Macrogotas,Material Hospitalar,Urgencia,65
2024-01-02,0014,Furosemida 20mg,Medicamento,Urgencia,49
2024-01-02,0016,Adrenalina 1mg/mL,Medicamento,Clínica Médica,28
2024-01-02,0010,Ceftriaxona 1g,Antibiotico,Urgencia,5
2024-01-02,0017,"Atropina 0,25mg/mL",Medicamento,Urgencia,1
2024-01-02,0015,Hidrocortisona 100mg,Medicamento,Urgencia,2
2024-01-02,0018,Cloreto de Sodio 20%,Solucoes,UTI,36
2024-01-02,0022,Mascara Cirurgica,Material Hospitalar,UTI,77
2024-01-02,0005,Seringa 10mL,Material Hospitalar,Urgencia,65
2024-01-02,0019,Glicose 50%,Solucoes,Urgencia,42
2024-01-02,0011,Ampicilina 1g,Antibiotico,Urgencia,20
2024-01-02,0008,Luva Procedimento M,Material Hospitalar,Clínica Médica,95
2024-01-02,0006,Seringa 20mL,Material Hospitalar,UTI,25
2024-01-02,0024,Esparadrapo,Material Hospitalar,Bloco Cirurgico,68
2024-01-03,0011,Ampicilina 1g,Antibiotico,Urgencia,16
2024-01-03,0005,Seringa 10mL,Material Hospitalar,UTI,69
2024-01-03,0022,Mascara Cirurgica,Material Hospitalar,Urgencia,10
2024-01-03,0023,Compressa Gaze,Material Hospitalar,Urgencia,21
2024-01-03,0012,Metoclopramida 10mg,Medicamento,UTI,32
2024-01-03,0006,Seringa 20mL,Material Hospitalar,UTI,18
2024-01-03,0014,Furosemida 20mg,Medicamento,Urgencia,19
2024-01-03,0013,Ondansetrona 4mg,Medicamento,Bloco Cirurgico,3
2024-01-03,0010,Ceftriaxona 1g,Antibiotico,Clínica Médica,22
2024-01-03,0017,"Atropina 0,25mg/mL",Medicamento,Bloco Cirurgico,24
2024-01-03,0025,Alcool 70%,Material Hospitalar,Clínica Médica,81
2024-01-03,0015,Hidrocortisona 100mg,Medicamento,Bloco Cirurgico,40
2024-01-03,0002,"Soro Fisiologico 0,9% 500mL",Solucoes,UTI,29
2024-01-04,0006,Seringa 20mL,Material Hospitalar,Urgencia,119
2024-01-04,0023,Compressa Gaze,Material Hospitalar,UTI,111
2024-01-04,0013,Ondansetrona 4mg,Medicamento,Urgencia,54
2024-01-04,0010,Ceftriaxona 1g,Antibiotico,Clínica Médica,27
2024-01-04,0012,Metoclopramida 10mg,Medicamento,Bloco Cirurgico,30
2024-01-04,0019,Glicose 50%,Solucoes,UTI,68
2024-01-04,0015,Hidrocortisona 100mg,Medicamento,Clínica Médica,48
2024-01-04,0021,Cateter Venoso 22G,Material Hospitalar,Urgencia,44
2024-01-04,0007,Agulha 25x7,Material Hospitalar,Bloco Cirurgico,26
2024-01-05,0021,Cateter Venoso 22G,Material Hospitalar,Clínica Médica,26
2024-01-05,0022,Mascara Cirurgica,Material Hospitalar,Bloco Cirurgico,18
2024-01-05,0004,Equipo Macrogotas,Material Hospitalar,Bloco Cirurgico,57
2024-01-05,0013,Ondansetrona 4mg,Medicamento,UTI,42
2024-01-05,0007,Agulha 25x7,Material Hospitalar,Bloco Cirurgico,108
2024-01-05,0020,Cateter Venoso 20G,Material Hospitalar,Urgencia,33
2024-01-05,0011,Ampicilina 1g,Antibiotico,Clínica Médica,26
2024-01-05,0008,Luva Procedimento M,Material Hospitalar,Urgencia,45
2024-01-05,0015,Hidrocortisona 100mg,Medicamento,Bloco Cirurgico,1
2024-01-05,0012,Metoclopramida 10mg,Medicamento,Urgencia,46
2024-01-05,0025,Alcool 70%,Material Hospitalar,Bloco Cirurgico,85
2024-01-05,0010,Ceftriaxona 1g,Antibiotico,Clínica Médica,15
2024-01-06,0003,Soro Glicosado 5% 500mL,Solucoes,Bloco Cirurgico,44
2024-01-06,0014,Furosemida 20mg,Medicamento,Bloco Cirurgico,13
2024-01-06,0025,Alcool 70%,Material Hospitalar,Clínica Médica,115
2024-01-06,0021,Cateter Venoso 22G,Material Hospitalar,Urgencia,26
2024-01-06,0009,Omeprazol 40mg,Medicamento,Urgencia,19
2024-01-06,0016,Adrenalina 1mg/mL,Medicamento,UTI,55
2024-01-06,0004,Equipo Macrogotas,Material Hospitalar,Urgencia,99
2024-01-06,0007,Agulha 25x7,Material Hospitalar,Clínica Médica,32
2024-01-06,0024,Esparadrapo,Material Hospitalar,UTI,21
2024-01-07,0004,Equipo Macrogotas,Material Hospitalar,Urgencia,119
2024-01-07,0009,Omeprazol 40mg,Medicamento,Clínica Médica,5
2024-01-07,0012,Metoclopramida 10mg,Medicamento,UTI,26
2024-01-07,0022,Mascara Cirurgica,Material Hospitalar,Bloco Cirurgico,94
2024-01-07,0020,Cateter Venoso 20G,Material Hospitalar,UTI,42
2024-01-07,0018,Cloreto de Sodio 20%,Solucoes,UTI,27
2024-01-07,0017,"Atropina 0,25mg/mL",Medicamento,Urgencia,54
2024-01-07,0014,Furosemida 20mg,Medicamento,UTI,34
2024-01-07,0011,Ampicilina 1g,Antibiotico,Urgencia,10
2024-01-07,0010,Ceftriaxona 1g,Antibiotico,UTI,26
2024-01-07,0003,Soro Glicosado 5% 500mL,Solucoes,UTI,73
2024-01-07,0023,Compressa Gaze,Material Hospitalar,Bloco Cirurgico,25
2024-01-08,0006,Seringa 20mL,Material Hospitalar,Urgencia,11
2024-01-08,0007,Agulha 25x7,Material Hospitalar,Urgencia,44
2024-01-08,0021,Cateter Venoso 22G,Material Hospitalar,Urgencia,99
2024-01-08,0009,Omeprazol 40mg,Medicamento,Urgencia,26
2024-01-08,0004,Equipo Macrogotas,Material Hospitalar,Bloco Cirurgico,43
2024-01-08,0015,Hidrocortisona 100mg,Medicamento,Urgencia,7
2024-01-08,0024,Esparadrapo,Material Hospitalar,Urgencia,118
2024-01-08,0008,Luva Procedimento M,Material Hospitalar,Clínica Médica,45
2024-01-08,0010,Ceftriaxona 1g,Antibiotico,UTI,29
2024-01-08,0025,Alcool 70%,Material Hospitalar,Urgencia,19
2024-01-08,0014,Furosemida 20mg,Medicamento,UTI,24
2024-01-08,0005,Seringa 10mL,Material Hospitalar,Bloco Cirurgico,58
2024-01-08,0011,Ampicilina 1g,Antibiotico,Bloco Cirurgico,4
2024-01-08,0019,Glicose 50%,Solucoes,Urgencia,28
2024-01-08,0013,Ondansetrona 4mg,Medicamento,Clínica Médica,32
2024-01-09,0015,Hidrocortisona 100mg,Medicamento,UTI,58
2024-01-09,0005,Seringa 10mL,Material Hospitalar,UTI,78
2024-01-09,0008,Luva Procedimento M,Material Hospitalar,Urgencia,34
2024-01-09,0002,"Soro Fisiologico 0,9% 500mL",Solucoes,UTI,57
2024-01-09,0007,Agulha 25x7,Material Hospitalar,Bloco Cirurgico,66
2024-01-09,0014,Furosemida 20mg,Medicamento,Urgencia,53
2024-01-09,0010,Ceftriaxona 1g,Antibiotico,UTI,7
2024-01-09,0025,Alcool 70%,Material Hospitalar,Clínica Médica,14
2024-01-09,0018,Cloreto de Sodio 20%,Solucoes,Bloco Cirurgico,79
2024-01-09,0004,Equipo Macrogotas,Material Hospitalar,Urgencia,85
2024-01-09,0001,Dipirona 500mg/mL,Medicamento,Bloco Cirurgico,58
2024-01-09,0021,Cateter Venoso 22G,Material Hospitalar,UTI,111
2024-01-10,0011,Ampicilina 1g,Antibiotico,Urgencia,29
2024-01-10,0015,Hidrocortisona 100mg,Medicamento,Urgencia,39
2024-01-10,0019,Glicose 50%,Solucoes,UTI,23
2024-01-10,0022,Mascara Cirurgica,Material Hospitalar,Urgencia,76
2024-01-10,0017,"Atropina 0,25mg/mL",Medicamento,Urgencia,50
2024-01-10,0021,Cateter Venoso 22G,Material Hospitalar,UTI,67
2024-01-10,0025,Alcool 70%,Material Hospitalar,Bloco Cirurgico,81
2024-01-10,0007,Agulha 25x7,Material Hospitalar,Urgencia,114
2024-01-10,0012,Metoclopramida 10mg,Medicamento,Bloco Cirurgico,3
2024-01-10,0004,Equipo Macrogotas,Material Hospitalar,UTI,71
2024-01-10,0016,Adrenalina 1mg/mL,Medicamento,UTI,49
2024-01-10,0001,Dipirona 500mg/mL,Medicamento,Urgencia,33
2024-01-10,0024,Esparadrapo,Material Hospitalar,Urgencia,15
2024-01-10,0023,Compressa Gaze,Material Hospitalar,Bloco Cirurgico,54
2024-01-11,0010,Ceftriaxona 1g,Antibiotico,Urgencia,6
2024-01-11,0012,Metoclopramida 10mg,Medicamento,UTI,28
2024-01-11,0002,"Soro Fisiologico 0,9% 500mL",Solucoes,Urgencia,40
2024-01-11,0020,Cateter Venoso 20G,Material Hospitalar,UTI,67
2024-01-11,0025,Alcool 70%,Material Hospitalar,Urgencia,37
2024-01-11,0013,Ondansetrona 4mg,Medicamento,Urgencia,41
2024-01-11,0007,Agulha 25x7,Material Hospitalar,Urgencia,36
2024-01-11,0008,Luva Procedimento M,Material Hospitalar,Bloco Cirurgico,26
2024-01-11,0019,Glicose 50%,Solucoes,Urgencia,33
2024-01-11,0024,Esparadrapo,Material Hospitalar,Urgencia,44
2024-01-11,0006,Seringa 20mL,Material Hospitalar,Bloco Cirurgico,91
2024-01-11,0023,Compressa Gaze,Material Hospitalar,UTI,78
2024-01-12,0004,Equipo Macrogotas,Material Hospitalar,Bloco Cirurgico,78
2024-01-12,0008,Luva Procedimento M,Material Hospitalar,Clínica Médica,111
2024-01-12,0017,"Atropina 0,25mg/mL",Medicamento,Clínica Médica,23
2024-01-12,0014,Furosemida 20mg,Medicamento,Bloco Cirurgico,37
2024-01-12,0007,Agulha 25x7,Material Hospitalar,Bloco Cirurgico,92
